Sample	Dataset	biome_0	biome_1	biome_2	biome_3	biome_4	family
ERS2085340	MGYS00003488	root	Host-associated	Aves	Digestive system	Fecal	Phasianidae
ERS2085281	MGYS00003488	root	Host-associated	Mammalia	Digestive system	Fecal	Suidae
ERS2085258	MGYS00003488	root	Host-associated	Mammalia	Digestive system	Fecal	Suidae
ERS2085318	MGYS00003488	root	Host-associated	Mammalia	Digestive system	Fecal	Suidae
ERS2085225	MGYS00003488	root	Host-associated	Mammalia	Digestive system	Fecal	Suidae
ERS2085389	MGYS00003488	root	Host-associated	Mammalia	Digestive system	Fecal	Suidae
ERS2085321	MGYS00003488	root	Host-associated	Mammalia	Digestive system	Fecal	Suidae
ERS2085221	MGYS00003488	root	Host-associated	Mammalia	Digestive system	Fecal	Suidae
ERS2085150	MGYS00003488	root	Host-associated	Mammalia	Digestive system	Fecal	Suidae
ERS2085097	MGYS00003488	root	Host-associated	Mammalia	Digestive system	Fecal	Suidae
ERS2085267	MGYS00003488	root	Host-associated	Mammalia	Digestive system	Fecal	Suidae
ERS2085081	MGYS00003488	root	Host-associated	Mammalia	Digestive system	Fecal	Suidae
ERS2085419	MGYS00003488	root	Host-associated	Mammalia	Digestive system	Fecal	Suidae
ERS2085357	MGYS00003488	root	Host-associated	Mammalia	Digestive system	Fecal	Suidae
ERS2876946	MGYS00003605	root	Environmental	Aquatic	Freshwater	Sediment	NA
ERS2876948	MGYS00003605	root	Environmental	Aquatic	Freshwater	Sediment	NA
ERS2876944	MGYS00003605	root	Environmental	Aquatic	Freshwater	Sediment	NA
ERS2876947	MGYS00003605	root	Environmental	Aquatic	Freshwater	Sediment	NA
ERS2876943	MGYS00003605	root	Environmental	Aquatic	Freshwater	Sediment	NA
ERS2876942	MGYS00003605	root	Environmental	Aquatic	Freshwater	Sediment	NA
ERS2876945	MGYS00003605	root	Environmental	Aquatic	Freshwater	Sediment	NA
ERS2876949	MGYS00003605	root	Environmental	Aquatic	Freshwater	Sediment	NA
ERS2876950	MGYS00003605	root	Environmental	Aquatic	Freshwater	Sediment	NA
SRS963313	MGYS00003658	root	Environmental	Aquatic	Freshwater	Groundwater	NA
SRS963627	MGYS00003658	root	Environmental	Aquatic	Freshwater	Groundwater	NA
SRS963594	MGYS00003658	root	Environmental	Aquatic	Freshwater	Groundwater	NA
ERS1546719	MGYS00004547	root	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	NA
ERS1546720	MGYS00004547	root	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	NA
SRR11092497	NA	root	Environmental	Soil	Soil	Soil	NA
SRR11092503	NA	root	Environmental	Soil	Soil	Soil	NA
SRR11092507	NA	root	Environmental	Soil	Soil	Soil	NA
SRR11092510	NA	root	Environmental	Soil	Soil	Soil	NA
SRR11092500	NA	root	Environmental	Soil	Soil	Soil	NA
SRR11092504	NA	root	Environmental	Soil	Soil	Soil	NA
F14_Common_Bream	Vertebrata	root	Host-associated	Actinopterygii	Cypriniformes	feces	Cyprinidae
F44_Fallow_Deer	Vertebrata	root	Host-associated	Mammalia	Artiodactyla	feces	Cervidae
F90_Domestic_Dog	Vertebrata	root	Host-associated	Mammalia	Carnivora	feces	Canidae
F141_Wood_Sandpiper	Vertebrata	root	Host-associated	Aves	Charadriiformes	feces	Scolopacidae
